timestamp,node_id,query_latency,cpu_utilization,memory_utilization,disk_io,network_latency,network_bandwidth,active_queries,system_load,temperature,error_rate
0,4,30.265311765760394,58.881198819530795,58.55121747751507,145.58082584400276,17.03154585441958,630.3251762104327,7,58.38011561712918,34.481432278538264,0
1,3,37.930419086417494,66.42464602386654,51.7227825261792,152.68678531005088,12.685763355086705,720.0285903417655,4,66.29301412658306,35.14431155549994,0
2,4,38.20462452002886,64.66351196157513,55.95577710143899,135.41099092336086,15.16804673976837,633.3831095085005,11,76.57845043300762,34.44818051042729,0
3,5,52.823847732161575,79.60816300148637,60.68738777304652,119.80085435566782,17.164507387075936,614.5388560905171,9,73.44367080567132,39.82198510169084,0
4,2,44.48509594564462,51.607824767773614,45.52630099319028,126.62526862807128,14.926635381367078,677.5085804803939,9,56.53350779852481,35.08913039855746,0
5,2,36.9460239804828,60.870470682381715,45.60794119627306,121.83521553071004,6.037293256197321,868.2705404841779,5,55.90318055763151,37.91785130364232,0
6,4,37.76226775239062,79.62641289999702,54.322460505304015,124.51914138506993,12.920665564124038,777.790851293813,2,58.83112141679501,35.263861343533684,0
7,3,48.86710809850365,50.84629257949586,48.63483741787713,123.14570966946461,10.593168192335144,780.0723505699966,9,60.03385179918376,35.20508967783164,0
8,5,46.43863180287953,87.37016072936461,48.58816892219558,156.76045317750282,20.92371359086046,679.777466379064,11,70.56197494832477,36.093262171669586,0
9,5,59.23920939272,89.05205305878188,71.13860602793523,132.3871836294046,15.230684845753714,670.7146789747593,7,84.48342137948129,42.31841521323511,0
10,3,41.453677397119826,59.63839899820978,60.77223085195906,138.56025681978855,5.590903404797208,912.2808888542005,8,68.68315054779421,37.96481111534519,0
11,1,30.40751761167709,67.99396814264487,37.06283075160357,122.3528169102229,14.65121239094033,718.2901656561372,1,51.3528404596867,37.14906283824743,0
12,5,46.3532312970597,82.34501064880045,52.364021904308636,134.97641150672143,11.60871584063841,806.3245511837715,11,85.22365950771233,35.49475895144746,0
13,5,54.227139429890265,84.10512218494668,59.76219713850088,111.272475800308,12.45792741566207,819.0631240527745,14,93.8413647530456,43.97838831147434,0
14,1,22.290786652374116,54.88416680218006,45.52478964091618,122.1395141913725,9.953296451681746,831.2405391213193,4,39.37837232461688,35.26600868059747,0
15,2,42.881955981890904,61.73180925851182,51.08253903783069,102.32285127597734,12.461175317836584,753.6869295655682,17,74.475814851452,34.62753049677604,0
16,3,53.61337574876494,88.14658566673509,37.06187845926601,143.72520380749026,8.161852386431045,813.1663589819075,6,72.63660935598418,43.59273048145843,0
17,4,37.51492026664619,56.92085700330625,40.07520360338109,122.849022286778,16.520016129867287,758.6642312539726,5,47.09591124409367,36.05979672914974,0
18,5,45.04397201293316,61.73168233864103,74.74972638201477,135.38517193540693,11.160240800210609,764.9255859354544,5,72.65078748628648,33.58328328490438,0
19,2,47.44321672696821,75.43067651859084,58.58611045720989,117.43175706920583,10.603005686236362,790.865331390615,5,77.03115603871001,38.837393045433174,0
20,2,40.469332974455895,49.65597643514315,49.63426353601063,129.62435456856252,13.401171518186665,788.8274405679396,5,51.952718002245106,31.878146838130522,0
21,5,49.60120540709765,69.10635243055789,66.7968167761682,157.14030971930094,12.921271214218038,786.5545694873017,8,72.12871885251245,38.405222453302315,1
22,2,41.4451439623833,64.92141033936662,35.78037899332471,123.60985010999096,15.213124572352527,733.9614203192351,7,51.63899980396023,35.669559852617034,1
23,4,57.973923271436476,89.1231763983997,64.52181666037535,104.1590979972957,12.659679464630276,807.0525567963232,9,75.93483085124484,40.14000032279082,0
24,5,51.18901578384144,69.94557726208137,49.1457161246515,118.36692148770909,15.23702704273217,748.2940823043717,14,78.90392972654584,37.366982413997384,0
25,4,46.00873194509865,49.62924065027861,68.56025824434138,133.95351515847383,13.986311513029111,686.15663968341,9,63.141720370762656,35.102229394065624,1
26,3,49.134677577369075,60.28080258709859,53.73765182314452,120.56244951764262,11.331456562594035,728.509052180054,7,67.89084662674681,33.60983547958789,0
27,4,47.07481803601682,50.87293482935781,58.89981167044242,151.42695020653576,16.91157146003963,698.8667216256806,6,62.48970404295977,31.66102442475402,1
28,5,47.43982250100515,77.1868309227614,56.124994464245574,182.77719972747906,15.67570605841681,694.8073556218218,12,83.46869195868152,35.01723918639313,0
29,1,45.22002663675022,56.20295631711899,48.115510672469995,124.2322975617778,7.6260737244863925,770.7728169734911,9,66.92451546979304,36.91104753088219,0
30,3,46.50372811990713,67.33465796480243,58.42121804485944,131.08141748520973,13.721053468232434,766.7465564492995,12,85.45595810458649,36.989547933597166,0
31,3,40.31915215811397,46.80699550470071,59.31684412475268,86.50234994693805,19.096427577877655,529.8651034774429,11,70.69799436815214,34.78238468874238,0
32,4,39.140050313068095,64.46350694652818,46.416976859289214,179.2945026583278,14.105790655915186,682.897911482067,8,63.22674608472197,41.19463418145401,0
33,2,35.58801945267824,68.51402092378828,40.09651323362767,120.57241119135652,14.905869468913263,653.2691832355312,5,56.68337669107014,34.728876826485646,0
34,4,38.98875272155851,62.97448882879836,46.453919074892596,96.46637221455634,12.826897996308524,728.5567766061812,13,82.28763161373348,35.06326806630609,0
35,3,47.29326588631726,66.73966329169569,59.26297557793942,129.82418887393288,14.354233595942494,753.7079091056047,12,77.98250395382381,38.20247072638762,0
36,3,51.65822383315812,63.51448594992951,48.74031889891788,117.96062642207231,15.280753283906082,749.7013895633004,11,72.2375293911468,37.32753675375045,0
37,3,47.57383888049142,59.05483947275751,56.70662814768514,123.63042978699322,12.042828936800971,786.3175789121694,11,73.71401281608729,35.427126615215414,0
38,3,42.891040952033514,42.109387430670026,63.45985533962005,154.29444119373096,10.357409066535219,748.7578739170924,13,68.65567517910213,29.721332927652384,0
39,4,63.46974455804963,82.86974963849593,52.44289953403488,131.45184115101048,12.342062679958984,801.3512623365884,11,84.03553191705905,38.64803664746046,0
40,4,44.25578814913721,61.244749731881335,57.6368816761993,127.94704389389369,17.905547504480285,610.5181056915204,9,63.436493154144216,34.2939922131954,0
41,2,42.45382281335031,57.701204285536136,53.02512010784535,145.4025109315143,9.544577348872826,733.9702021410133,6,55.45446235066258,39.4680326184443,0
42,5,39.934011187673526,79.4539882441174,60.11369511052958,195.53303252797676,10.112092168337243,803.2508039809924,7,77.40935008007942,36.20366952911908,0
43,3,44.230685670997744,60.5197286019977,35.00721540535861,101.32582855076231,17.39616926655728,667.2318979738833,9,64.59453307223197,34.39465678752418,0
44,2,33.0889460474261,56.38109028766996,47.44328141669592,129.70631993120907,9.681998573179587,801.8989697567247,3,48.57344774147954,35.835600584041664,0
45,1,43.854308102822905,72.16657776454724,47.52774545489015,134.9961063882243,12.260973761553561,740.9900464888292,5,55.05395626157396,37.87729591293996,0
46,1,40.470773472356974,49.772769794809605,52.392073806695116,95.91312618914482,6.774616110909321,786.6762191056183,7,57.63405679614153,34.90200757463126,0
47,1,26.942384904714963,77.78478728188406,21.727966169583823,127.39480880456826,14.171374800068925,648.6551180343139,10,63.06358892476944,37.64051740749682,0
48,5,58.32892416525681,91.20533445165877,72.5639570820891,129.9248421687326,16.53088916874697,661.4771421215507,9,89.40482059002456,38.4245072725722,0
